song_name,artist,lyrics,emotion
Sepanjang Hidupku,Mario G klau," 
Dengan dirimu kini ku bahagia
Tak henti kau berbagi canda tawa
Hilangkan gairah lelah hatiku
Hadirmu mengubah arti hidupku

Jadilah aku tawanan cintamu
Kuserahkan seluruhnya untukmu
Kupenuhi semua yang kau inginkan
Tiada yang penting selain dirimu

 
Sepanjang hidupku hanya ingin bersamamu
Di setiap waktu
Di setiap waktu

Sepanjang hidupku tak kurelakan dirimu
'Tuk tinggalkan aku
'Tuk tinggalkan aku

 
Sejuk kasihmu sampai ke tulangku
Hingga detak jantungku 'kan berhenti
Senyum manismu sinari hariku
Tulus setia cintaku hanya untukmu
You might also like 
Sepanjang hidupku hanya ingin bersamamu
Di setiap waktu
Di setiap waktu

Sepanjang hidupku tak kurelakan dirimu
'Tuk tinggalkan aku
'Tuk tinggalkan aku

Sepanjang hidupku hanya ingin bersamamu
Di setiap waktu
Di setiap waktu

Sepanjang hidupku tak kurelakan dirimu
'Tuk tinggalkan aku
'Tuk tinggalkan aku

 
 
Di setiap waktu
 
Di hidupku

Sepanjang hidupku tak kurelakan dirimu
'Tuk tinggalkan aku
'Tuk tinggalkan aku",1
Jatuh Hati,Raisa,"Ada ruang hatiku yang kau temukan
Sempat aku lupakan kini kau sentuh
Aku bukan jatuh cinta
Namun aku jatuh hati

Ku terpikat pada tuturmu
Aku tersihir jiwamu
Terkagum pada pandangmu
Caramu melihat dunia
Kuharap kau tahu bahwa ku
Terinspirasi hatimu
Ku tak harus memilikimu
Tapi bolehkah ku selalu di dekatmu?

Ada ruang hatiku kini kau sentuh
Aku bukan jatuh cinta
Namun aku jatuh hati

Ku terpikat pada tuturmu
Aku tersihir jiwamu
Terkagum pada pandangmu
Caramu melihat dunia
Kuharap kau tahu bahwa ku
Terinspirasi hatimu
Ku tak harus memilikimu
Tapi bolehkah ku selalu di dekatmu?
You might also likeKatanya cinta
Memang banyak bentuknya
Ku tahu pasti
Sungguh aku jatuh hati

Ku terpikat pada tuturmu
Aku tersihir jiwamu
Terkagum pada pandangmu
Caramu melihat dunia
Kuharap kau tahu bahwa ku
Terinspirasi hatimu
Ku tak harus memilikimu
Tapi bolehkah ku selalu di dekatmu
Tapi bolehkah ku selalu di dekatmu",0
Cinta Dan Rahasia,Yura Yunita," 

 
Terakhir, kutatap mata indahmu
Di bawah bintang-bintang
Terbelah hatiku
Antara cinta dan rahasia
Kucinta padamu
Namun kau milik sahabatku
Dilema hatiku
Andai 'ku bisa berkata sejujurnya

 
Jangan kau pilih dia
Pilihlah aku yang mampu mencintamu lebih dari dia
Bukan kuingin merebutmu dari sahabatku
Namun kau tahu
Cinta tak bisa, tak bisa kau salahkan

 
Kucinta padamu
Namun kau milik sahabatku
Dilema hatiku
Andai 'ku bisa berkata sejujurnya

 
Jangan kau pilih dia
Pilihlah aku yang mampu mencintamu lebih dari dia
Bukan kuingin merebutmu dari sahabatku
Namun kau tahu
Cinta tak bisa, tak bisa kau salahkan
You might also like 

 
Jangan   kau pilih dia  
Pilihlah aku   yang mampu mencintamu lebih dari dia
 
Bukan kuingin merebutmu dari sahabatku
Namun kau tahu
Cinta tak bisa, tak bisa kau salahkan

 
Tak bisa kau salahkan
Tak bisa kau salahkan1",0
Cahaya,Tulus," 
Ratusan hari 'ku mengenalmu
Ratusan alasan kamu berharga
Ratusan hari 'ku bersamamu
Ratusan alasan kamu cahaya

 
Semampuku kau akrab dengan senyum dan tawa
Semampuku tak lagi perlu kau takut cinta

 
Bila aku pegang kendali penuh pada cahaya
Aku pastikan jalanmu terang
Bila aku pegang kendali penuh pada cahaya
Aku pastikan jalanmu terang

 
Tak mudah lagi sendu mengganggu
Kau tahu cara buatku tertawa
Tak mudah kusut dalam kemelut
Kau tahu cara mengurai semua

 
Bila aku pegang kendali penuh pada cahaya
Aku pastikan jalanmu terang
Bila aku pegang kendali penuh pada cahaya
Aku pastikan jalanmu terang
You might also like 
Duhai cahaya terima aku
Aku ingin kau lihat yang kau punya
Aku ingin kau kembali bisa
Percaya pada diri dan mampumu",1
Desember,Dea Anggita,"Selalu ada yang bernyanyi dan berelegi
Di balik awan hitam

Semoga ada yang menerangi sisi gelap ini
Menanti seperti pelangi setia
Menunggu hujan reda

Aku selalu suka sehabis hujan
Di bulan desember
Di bulan desember

Selalu ada yang bernyanyi dan berelegi
Di balik awan hitam

Semoga ada yang menerangi sisi gelap ini
Menanti seperti pelangi setia
Menunggu hujan reda

Aku selalu suka sehabis hujan
Di bulan desember
Di bulan desember

Sampai nanti ketika hujan tak lagi
Meneteskan duka meretas luka
Sampai hujan memulihkan lukaYou might also like",0
Seperti,Dea Anggita,"Seperti pagi buta yang membisu
Seperti siang yang membakar jiwa

Kau tetap ada
Kau selalu ada

Seperti malam yang tak kunjung usai
Seperti senja dilapak nestapa

Dikala ku bangkit
Disaat kau terungkit

Lalu ku terbang, melayang
Berduri ku menggila
Lalu ku sendu, merindu
Disentuh oleh kalbu

Seperti pagi buta yang membisu
Seperti siang yang membakar jiwa

Kau tetap ada
Kau selalu ada

Seperti malam yang tak kunjung usai
Seperti senja dilapak nestapa
You might also likeDikala ku bangkit
Disaat kau terungkit

Lalu ku terbang, melayang
Berduri ku menggila
Lalu ku sendu, merindu
Disentuh oleh kalbu

Seperti bayang hadirmu
Seperti arti tentangmu

Seperti bayang hadirmu
Seperti arti tentangmu...1",1
Labirin,Tulus,"Kucari tau tentangmu
Tanggal dan tahun lahirmu
Kupelajari rasi bintang menebak pribadimu

Tokoh kartun favoritmu
Dan warna kegemaranmu
Kutelusuri di titik mana kita kan bertemu

Bius aku
Bius aku dengan tatapanmu tatapanmu
Misterimu
Menyiksaku tapi sungguh candu sungguh candu

Lika liku labirinmu
Tak kan urungkan niatku
Betapa kuyakin kita berdua bisa menyatu

Labirinmu
Jebak aku dalam labirinmu labirinmu
Tersesatku
Tersesatku di adiwarnamu pesonamu

Labirinmu
Jebak aku dalam labirinmu labirinmu labirinmu
Tersesatku
Tersesatku di adiwarnamu pesonamu
You might also likeKucari tau tentangmu
Tanggal dan tahun lahirmu
Kupelajari rasi bintang menebak pribadimu

Bius aku
Bius aku dengan tatapanmu tatapanmu
Misterimu
Menyiksaku tapi sungguh candu sungguh candu sungguh candu

Labirinmu
Jebak aku dalam labirinmu labirinmu labirinmu
Tersesatku
Tersesatku di adiwarnamu pesonamu

Lika liku labirinmu
Tak kan urungkan niatku
Betapa kuyakin kita berdua bisa menyatu2",0
Berdua Bersama,Jaz," 
Indah ceria
Masa masa berdua bersamamu
Saat itu
Canda tawa
Manis lugu dirimu saat itu
Aku cinta kamu

 
Tak ingin aku berpisah sebentar saja
Kurasakan dunia milik berdua

 
Aku selalu salah tingkah
Saat di dekatmu
Kamu tetap yang terindah
Jangan pernah berubah
Berdua meraih mimpi kita

 
Kadang ada
Masalah yang pernah kita hadapi
Hidup ini
Jangan ragu
Kau dan aku pasti bisa lewati
Lewati
You might also like 
Percayalah ku akan selalu bersamamu
Karena itu sebuah janji kepadamu

 
Aku selalu salah tingkah
Saat di dekatmu
Kamu tetap yang terindah
Jangan pernah berubah
Berdua meraih mimpi kita

 

 
Aku selalu salah tingkah
Saat di dekatmu
Kamu tetap yang terindah
Jangan pernah berubah
Berdua meraih mimpi kita

Aku selalu salah tingkah
Saat di dekatmu
Kamu tetap yang terindah
Jangan pernah berubah
Berdua meraih mimpi kita
Meraih mimpi kita
Berdua berdua meraih mimpi kita",1
1000 Tahun Lamanya,Tulus," 

 
Bila kau sanggup untuk melupakan dia
Biarkan aku hadir dan menata
Ruang hati yang telah tertutup lama

 
Jika kau masih ragu untuk menerima
Biarkan hati kecilmu bicara
Karena 'ku yakin kan datang saatnya

 
Kau jadi bagian hidupku
Kau jadi bagian hidupku

 
Takkan pernah berhenti untuk selalu percaya
Walau harus menunggu seribu tahun lamanya
Biarkanlah terjadi wajar apa adanya
Walau harus menunggu seribu tahun lamanya

 
Jika kau masih ragu untuk menerima
Biarkan hati kecilmu bicara
Karena 'ku yakin kan datang saatnya
You might also like 
Kau jadi bagian hidupku
Kau jadi bagian hidupku

 
Takkan pernah berhenti untuk selalu percaya
Walau harus menunggu seribu tahun lamanya
Biarkanlah terjadi wajar apa adanya
Walau harus menunggu seribu tahun lamanya

 
Selama apapun itu  
'Ku kan setia menunggu

 
Takkan pernah berhenti untuk selalu percaya
Walau harus menunggu...
Takkan pernah berhenti untuk selalu percaya
Walau harus menunggu seribu tahun lamanya
Biarkanlah terjadi wajar apa adanya
Walau harus menunggu seribu tahun lamanya",0
Hati-Hati di Jalan,Tulus," 

 
Perjalanan membawamu
Bertemu denganku
'Ku bertemu kamu
Sepertimu yang kucari
Konon aku juga
Seperti yang kau cari

 
Kukira kita asam dan garam
Dan kita bertemu di belanga
Kisah yang ternyata tak seindah itu

 
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira ini kan mudah
Kau aku jadi kita

 
Kasih sayangmu membekas
Redam kini sudah
Pijar istimewa
Entah apa maksud dunia
Tentang ujung cerita
Kita tak bersama
You might also like 
Semoga rindu ini menghilang
Konon katanya waktu sembuhkan
Akan adakah lagi yang sepertimu?

 
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira ini kan mudah
Kau aku jadi kita

 
Kau melanjutkan perjalananmu
'Ku melanjutkan perjalananku
Uh-uhh, Uh

 
Kukira kita akan bersama
Begitu banyak yang sama
Latarmu dan latarku
Kukira takkan ada kendala
Kukira ini kan mudah
Kau aku jadi kita
Kukira kita akan bersama
 
Hati-hati di jalan1",0
Kamu,Coboy Junior," 

 
Kamu, buat aku tersipu
Buat 'ku malu-malu, saat bersamamu
Saat kusapa dirimu

 
Aku, kok merinding buluku
Kok jadi gugup aku, saat bersamamu
Saat kau senyum padaku

 
Mungkin, inilah rasanya, rasa suka pada dirinya
Sejak pertama, aku bertanya
""Facebook-mu apa?"" ""Nomormu berapa?""
Mungkin, inilah rasanya, cinta pada pandang pertama
Senyuman manismu itu membuat aku dag-dig-dug melulu

 
Nanti, aku follow Twitter-mu
Aku tunggu retweet-mu, agar aku tahu
Sukakah kamu kepadaku

 
Mungkin, inilah rasanya, rasa suka pada dirinya
Sejak pertama, aku bertanya
""Facebook-mu apa?"" ""Nomormu berapa?""
Mungkin, inilah rasanya, cinta pada pandang pertama
Senyuman manismu itu membuat aku dag-dig-dug melulu
You might also like 
Yeah, cuma kamu, cuma kamu yang bisa membuatku
Tidur tak tentu memikirkanmu pujaan hati
Oh, kamu cantik sekali!
Oh, Tuhan, aku hanya ingin dia tau
Kamu lucu, kamu sangat lucu

 
Mungkin, inilah rasanya, rasa suka pada dirinya
Sejak pertama, aku bertanya
""Facebook-mu apa?"" ""Nomormu berapa?""
""Nomormu berapa?""
Mungkin, inilah rasanya, cinta pada pandang pertama
Senyuman manismu itu membuat aku dag-dig-dug melulu
Mungkin, inilah rasanya  , rasa suka pada dirinya
Sejak pertama  , aku bertanya
 
""Facebook-mu apa?"" ""Nomormu berapa?""
Mungkin inilah rasanya, cinta pada pandang pertama
 
Senyuman manismu itu membuat aku  
Dag-dig-dug melulu

 
Kamu, kamu, kamu, kamu, kamu, kamu, kamu, kamu
Kamu, kamu, kamu, kamu, kamu, kamu, kamu, kamu",1
Monokrom,Tulus," 

 
Lembaran foto hitam putih
Aku coba ingat lagi warna bajumu kala itu
Kali pertama di hidupku
Manusia lain memelukku

 
Lembaran foto hitam putih
Aku coba ingat lagi wangi rumah di sore itu
Kue cokelat balon warna-warni
Pesta hari ulang tahunku

 
Dimanapun kalian berada
Kukirimkan terima kasih
Untuk warna dalam hidupku dan banyak kenangan indah
Kau melukis aku

 
Lembaran foto hitam putih
Kembali teringat malam kuhitung-hitung bintang
Saat mataku sulit tidur
Suaramu buatku lelap
You might also like 
Dimanapun kalian berada
Kukirimkan terima kasih
Untuk warna dalam hidupku dan banyak kenangan indah
Kau melukis aku

 
Kita tak pernah tahu berapa lama kita
Diberi waktu
Jika aku pergi lebih dulu jangan lupakan aku
Ini lagu untukmu
Ungkapan terima kasihku

 
Lembar monokrom hitam putih
Aku coba ingat warna demi warna di hidupku
Tak akan 'ku mengenal cinta
Bila bukan karena hati baikmu",0
Komang,Raim Laode," 

 
Dari kejauhan tergambar cerita tentang kita
Terpisah jarak dan waktu
Ingin kuungkapkan rinduku lewat kata indah
Tak cukup untuk dirimu

 
Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmu

 
Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya hidup bersamamu
Jika hari kulalui tanpa hawamu
Percuma senyumku dengan dia, ooh

 

 
Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya hidup bersamamu
Apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya  
Hidup bersamamu
You might also like 
Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmu",1
Sampai Jadi Debu (Menampilkan Gardika Gigih),Banda Neira,"Sampai Jadi Debu

 
Badai Tuan telah berlalu
Salahkah ku menuntut mesra?
Tiap pagi menjelang
Kau di sampingku
Ku aman ada bersamamu

 
Selamanya
Sampai kita tua
Sampai jadi debu
Ku di liang yang satu
Ku di sebelahmu

 
Badai Puan telah berlalu
Salahkah ku menuntut mesra?
Tiap taufan menyerang
Kau di sampingku
Kau aman ada bersamaku

 
Selamanya
Sampai kita tua
Sampai jadi debu
Ku di liang yang satu
Ku di sebelahmuYou might also like",0
